movie_id,title,release_year,runtime,genre
1,Black Panther: Wakanda Forever,2022.0,161,action
2,Avatar: The Way of Water,2022.0,192,action
3,Plane,2023.0,107,action
4,Everything Everywhere All at Once,2022.0,139,action
5,Ant-Man and the Wasp: Quantumania,2023.0,125,action
6,Shotgun Wedding,2022.0,100,action
7,Bullet Train,2022.0,127,action
8,All Quiet on the Western Front,2022.0,148,action
9,Top Gun: Maverick,2022.0,130,action
10,Pathaan,2023.0,146,action
11,Teen Wolf: The Movie,2023.0,140,action
12,Black Panther,2018.0,134,action
13,The Batman,2022.0,176,action
14,Top Gun,1986.0,109,action
15,Avatar,2009.0,162,action
16,The Wandering Earth II,2023.0,173,action
17,Black Adam,2022.0,125,action
18,Operation Fortune: Ruse de guerre,2023.0,114,action
19,Jurassic World: Dominion,2022.0,147,action
20,The Hunger Games,2012.0,142,action
21,Devotion,2022.0,139,action
22,The Northman,2022.0,137,action
23,Dune,2021.0,155,action
24,The Unbearable Weight of Massive Talent,2022.0,107,action
25,The Woman King,2022.0,135,action
26,RRR,2022.0,187,action
27,The Lord of the Rings: The Fellowship of the Ring,2001.0,178,action
28,Thor: Love and Thunder,2022.0,118,action
29,Dungeons & Dragons: Honor Among Thieves,2023.0,134,action
30,The Locksmith,2023.0,92,action
31,The Dark Knight,2008.0,152,action
32,Inception,2010.0,148,action
33,Spider-Man: No Way Home,2021.0,148,action
34,John Wick: Chapter 4,2023.0,169,action
35,Gladiator,2000.0,155,action
36,Avengers: Endgame,2019.0,181,action
37,Legion of Super-Heroes,2023.0,83,action
38,Little Dixie,2023.0,105,action
39,An Action Hero,2022.0,130,action
40,Strange World,2022.0,102,action
41,John Wick,2014.0,101,action
42,The Gentlemen,2019.0,113,action
43,Blade Runner 2049,2017.0,164,action
44,F9: The Fast Saga,2021.0,143,action
45,Violent Night,2022.0,112,action
46,Last Seen Alive,2022.0,95,action
47,Nobody,2021.0,92,action
48,The Matrix,1999.0,136,action
